,time_x,event_name,holiday,date,jalali_date
229,۱۴ خرداد,رحلت حضرت امام خمینی ,1,2019-06-04,1398-03-14
230,۱۵ خرداد,قیام 15 خرداد ,1,2019-06-05,1398-03-15
231,۱۵ خرداد,عید سعید فطر [ ١ شوال ],1,2019-06-05,1398-03-15
232,۱۶ خرداد,تعطیل به مناسبت عید سعید فطر [ ٢ شوال ],1,2019-06-06,1398-03-16
233,۸ تیر,شهادت امام جعفر صادق علیه السلام [ ٢٥ شوال ],1,2019-06-29,1398-04-08
234,۲۱ اَمرداد,عید سعید قربان [ ١٠ ذوالحجه ],1,2019-08-12,1398-05-21
235,۲۹ اَمرداد,عید سعید غدیر خم [ ١٨ ذوالحجه ],1,2019-08-20,1398-05-29
236,۱۸ شهریور ,تاسوعای حسینی [ ٩ محرم ],1,2019-09-09,1398-06-18
237,۱۹ شهریور ,عاشورای حسینی [ ١٠ محرم ],1,2019-09-10,1398-06-19
238,۲۷ مهر,اربعین حسینی [ ٢٠ صفر ],1,2019-10-19,1398-07-27
239,۵ آبان,رحلت رسول اکرم؛شهادت امام حسن مجتبی علیه السلام [ ٢٨ صفر ],1,2019-10-27,1398-08-05
240,۷ آبان,شهادت امام رضا علیه السلام [ ٣٠ صفر ],1,2019-10-29,1398-08-07
241,۱۵ آبان,شهادت امام حسن عسکری علیه السلام [ ٨ ربيع الاول ],1,2019-11-06,1398-08-15
242,۲۴ آبان,میلاد رسول اکرم و امام جعفر صادق علیه السلام [ ١٧ ربيع الاول ],1,2019-11-15,1398-08-24
243,۹ بهمن,شهادت حضرت فاطمه زهرا سلام الله علیها [ ٣ جمادي الثانيه ],1,2020-01-29,1398-11-09
244,۲۲ بهمن,پیروزی انقلاب اسلامی,1,2020-02-11,1398-11-22
245,۱۸ اسفند,ولادت امام علی علیه السلام و روز پدر [ ١٣ رجب ],1,2020-03-08,1398-12-18
246,۲۹ اسفند,روز ملی شدن صنعت نفت ایران,1,2020-03-19,1398-12-29
247,۱ فروردین,جشن نوروز/جشن سال نو ,1,2020-03-20,1399-01-01
248,۲ فروردین,عیدنوروز ,1,2020-03-21,1399-01-02
249,۳ فروردین,عیدنوروز ,1,2020-03-22,1399-01-03
250,۴ فروردین,عیدنوروز ,1,2020-03-23,1399-01-04
251,۳ فروردین,مبعث رسول اکرم (ص) [ ٢٧ رجب ],1,2020-03-22,1399-01-03
252,۱۲ فروردین,روز جمهوری اسلامی ,1,2020-03-31,1399-01-12
253,۱۳ فروردین,جشن سیزده به در ,1,2020-04-01,1399-01-13
254,۲۱ فروردین,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان [ ١٥ شعبان ],1,2020-04-09,1399-01-21
255,۲۶ اردیبهشت,شهادت حضرت علی علیه السلام [ ٢١ رمضان ],1,2020-05-15,1399-02-26
256,۴ خرداد,عید سعید فطر [ ١ شوال ],1,2020-05-24,1399-03-04
257,۵ خرداد,تعطیل به مناسبت عید سعید فطر [ ٢ شوال ],1,2020-05-25,1399-03-05
258,۱۴ خرداد,رحلت حضرت امام خمینی ,1,2020-06-03,1399-03-14
259,۱۵ خرداد,قیام 15 خرداد ,1,2020-06-04,1399-03-15
260,۲۸ خرداد,شهادت امام جعفر صادق علیه السلام [ ٢٥ شوال ],1,2020-06-17,1399-03-28
261,۱۰ اَمرداد,عید سعید قربان [ ١٠ ذوالحجه ],1,2020-07-31,1399-05-10
262,۱۸ اَمرداد,عید سعید غدیر خم [ ١٨ ذوالحجه ],1,2020-08-08,1399-05-18
263,۸ شهریور ,تاسوعای حسینی [ ٩ محرم ],1,2020-08-29,1399-06-08
264,۹ شهریور ,عاشورای حسینی [ ١٠ محرم ],1,2020-08-30,1399-06-09
265,۱۷ مهر,اربعین حسینی [ ٢٠ صفر ],1,2020-10-08,1399-07-17
266,۲۵ مهر,رحلت رسول اکرم؛شهادت امام حسن مجتبی علیه السلام [ ٢٨ صفر ],1,2020-10-16,1399-07-25
267,۲۶ مهر,شهادت امام رضا علیه السلام [ ٢٩ صفر ],1,2020-10-17,1399-07-26
268,۴ آبان,شهادت امام حسن عسکری علیه السلام [ ٨ ربيع الاول ],1,2020-10-25,1399-08-04
